author,review,date_review,note,cdiscount_response,cdiscount_response_date,cdiscount_response_content,scores
mebarki mohamed,"j'attend toujours mon colis et c'est moi qui doit faire les démarches , ce n'est pas normale , je suis très déçu du service ! !!",26/04/2024,1,1,29/04/2024,"bonjour mohamed,je comprends votre mécontentement si vous n'avez pas reçu votre colis. vous pouvez suivre son avancée sur votre espace client.vous pouvez aussi contacter le service clients si vous voulez plus d'informations 😉voici les moyens de les joindre : https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=comment%2520contacter%2520cdiscount%2520%3fbonne fin de journée,damien","{'neg': 0.092, 'neu': 0.866, 'pos': 0.042, 'compound': -0.3755}"
daniel20,"panne sur mon seiche linge . le dépanneur doit passer le 29 mars 2024 ,  il n'est pas venu . sans que je le demande vous m'envoyer un bon de retour n° na240408515475 pris par le transporteur le 8 avril et malgré tous les messages ci dessous pas de réponse . depuis je suis passé par messenger et là peut être cela va être réglé . affaire à suivre ! !!!!bonjour , je suis en panne depuis un mois et là vous m'envoyer un bon de retour . le seiche linge à l'origine était emballé d'usine ,  comment vous le renvoyer et avec quel emballage ? cordialement .  vous le 08/04/2024 à 18:48                                re , comme il est épuisé est il possible de le remplacer par:sèche-linge pompe à chaleur vedette vsf218hw - 8 kg - l60cm - classe a++ - blanc  qui est au même prix .  vous le 08/04/2024 à 19:03                                re , je suis en attente de votre réponse ! !!nous n'avons plus de seiche linge à quand son remplacementcordialement .  vous le 17/04/2024 à 14:37                                je vais devoir passer un message de mécontentement sur trustpilotproblème enfin réglé . ",23/04/2024,4,1,25/04/2024,"bonjour daniel,[mise à jour, après vérification, je vois que votre commande a finalement été remboursée. n'hésitez pas à consulter votre espace client pour en savoir plus.]--je comprends que vous attendiez une solution au plus vite et je suis désolé si nous vous avons déçu.si le produit a été retourné, mes collègues du service clients vous tiendront informé dès traitement du retour dans nos entrepôts.dans le cas d'une commande marketplace, c'est le vendeur qui vous répond dans votre espace client.je vous envoie une demande d'informations, cela permettra de vérifier où en est votre dossier 😉merci de votre retour,damien","{'neg': 0.019, 'neu': 0.922, 'pos': 0.059, 'compound': 0.919}"
daniele poupardin,"j'ai commandé 2 boutons de serrage de cocotte seb qui sur leur site était le même modèle que le mien . mais ce sont 2 boutons d'un autre modèle qui m'ont été livrés ,  et qui bien entendu ne vont pas ! il s'agit d'une erreur de leur part ! lors du retour j'ai joint les photos de la commande et de la livraison ! !!obligée de les retourner avec  les frais de réexpédition à ma charge ! inadmissible ! ",24/04/2024,1,1,24/04/2024,"bonjour daniele,je suis désolé si vous n'avez pas reçu les bons produits 😕les frais de retour restent à votre charge dans le cas d'une rétractation, conformément à nos cgv.mais il y a peut-être une autre solution s'il s'agit d'une erreur : je vous envoie une demande d'informations pour vérifier avec mes collègues du service clients.merci de votre retour et à bientôt,damien","{'neg': 0.118, 'neu': 0.804, 'pos': 0.078, 'compound': -0.594}"
paul marty,"bons  produits  et respect des livraisons ,",28/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}"
bruno meuleman,le dispositif d'abonnement à volonté cdiscount à volonté ne s'applique pas à toutes les expéditions . les délais d'expédition sont trop longs . ,29/04/2024,1,1,29/04/2024,"bonjour bruno,je suis d'accord avec vous, tous les produits ne sont pas éligibles mais ils sont extrêmement nombreux 😊vous pouvez d'ailleurs faire une sélection, grâce à un filtre pour ne choisir que ces produits.bonne fin de journée,damien","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.5106}"
didier rege nero,"je crains un peu la livraison à domicile ,  j'espère ne pas avoir de problème . ..je préfère celle à un point relais . ...",23/04/2024,5,1,24/04/2024,"bonjour didier,il n'y a pas de raison ! et quand bien même, il y a toujours une solution 😉pour toute question, n'hésitez pas à joindre mes collègues du service clients dans votre espace client, par téléphone ou sur les réseaux sociaux : ils sont là pour ça.merci pour votre avis et à bientôt,damien","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.7797}"
pascal tahar,"bonjour ,  cdiscount m’a vendu 2 pneus neuf .  pour une moto ,  j’ai reçu mon colis le 16 avril ,  en déballant le carton .  ma surprise la date de fabrication du pneu avant 2010 ,  la date de fabrication du pneu arrière 2011 ,  un pneu qui a 14 ans et l’autre de 13 ans .  comment peut-on vendre des pneus qui est absolument interdit et qu’il ne peut pas passer au contrôle technique comment fait-on cdiscount évidemment ,  cdiscount va me dire qu’ils sont pas responsables faux si je regarde pas sur leur site ,  je ne trouve pas le pneu donc vous êtes responsable vous êtes l’intermédiaire de cette escroquerie ?",19/04/2024,1,1,22/04/2024,"bonjour pascal,[mise à jour : d'après ce que je vois, le vendeur vous propose un retour des pneus. le service clients suit également la discussion pour s'assurer que le vendeur fasse le nécessaire.]je suis désolé de cette mauvaise expérience et je comprends que cela vous inquiète 😕ces produits étaient-ils proposés par des vendeurs marketplace ?dans tous les cas, nous sommes très attentifs aux produits vendus sur le site et nous n'avons pas pour habitude de présenter des articles qui poseraient un problème de sécurité.je vous encourage à contacter dès maintenant le service clients ou le vendeur dans votre espace client pour qu'une solution soit trouvée.je vous envoie aussi une demande d'informations pour faire remonter votre avis.merci de votre retour et à bientôt,damien","{'neg': 0.075, 'neu': 0.886, 'pos': 0.039, 'compound': -0.8096}"
francois le roux,je suis très satisfaite à chaque fois que je commande sur cdiscount .  je n'ai jamais eu de problème même de livraison .  merci,24/04/2024,5,1,24/04/2024,"bonjour françois,c'est important de le dire aussi quand tout va bien 😀 alors merci beaucoup pour cet avis et pour votre confiance !à très bientôt sur le site,damien","{'neg': 0.062, 'neu': 0.679, 'pos': 0.259, 'compound': 0.6581}"
andré,la commande via le site ne m'a posé aucun problème et le prix des articles commandés est,21/04/2024,5,0,,,"{'neg': 0.081, 'neu': 0.679, 'pos': 0.24, 'compound': 0.5423}"
neurofeedback lyon,une garantie 3 ans pour un congélateur payé 600€ et 100€ en plus pour cette garantie . sauf que la garantie n’est valable que pour une seule intervention !!!!,25/04/2024,1,1,26/04/2024,"bonjour,nous vous avons visiblement déçu et j'en suis désolé 😕les conditions d'application de chaque garantie ou assurance sont détaillées dans le contrat : n'hésitez pas à le consulter en détails !vous trouverez aussi des informations sur cette page ➡️ https://www.cdiscount.com/ct-garantie.htmldans certains cas, la garantie supplémentaire est en effet limitée à une utilisation. mais n'oubliez pas que vous bénéficiez toujours des garanties légales et de la garantie constructeur (s'il y en a une).pour toute question, je vous invite à contacter mes collègues du service clients dans votre espace client, par téléphone ou sur les réseaux sociaux. il y aura toujours quelqu'un pour vous aider.à bientôt,damien","{'neg': 0.113, 'neu': 0.735, 'pos': 0.152, 'compound': 0.4427}"
marie jouvent-tinchant,"j'ai donné un avis sur un achat dont je ne suis pas satisfaite .  l'avis ne leur convenant pas ,  ils ont refusé sa diffusion .  c'est facile d'avoir de bonnes notes avec ce genre de procédure . ",24/04/2024,1,1,25/04/2024,"bonjour marie,je suis désolé de cette déception et si vous n'êtes pas satisfaite de votre achat 😕tous les avis sont publiés sur le site, positifs comme négatifs dés lors qu'ils respectent nos conditions d'utilisation. vous avez dû les recevoir par mail, n'hésitez pas à les consulter pour en savoir plus ➡️ https://www.cdiscount.com/avis-cgv.htmlpar exemple, les messages qui relèvent du service clients sont refusés mais sont immédiatement pris en charge par le service clients.si votre commande ne correspond pas à vos attentes, le mieux est de le signaler à mes collègues ou au vendeur via votre espace client afin qu'une solution soit trouvée.à bientôt j'espère,damien","{'neg': 0.085, 'neu': 0.78, 'pos': 0.135, 'compound': 0.3645}"
cliente,"articles trouvés à un bon prix ,  livraison rapide",26/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.7096}"
frederic moro,bon service et commande toujour au date prévue,27/04/2024,4,0,,,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.3818}"
